#   Time         Wext         Waer         Wela         Wkin         Wdmp         Error
    ____         ____         ____         ____         ____         ____          ____

 0.000000  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.0000E+00  0.0000E+00
 0.000300  3.9716E-05  0.0000E+00  7.5394E-12  3.9716E-05 -0.0000E+00  1.3553E-20
 0.000600  1.5886E-04  0.0000E+00  1.2063E-10  1.5886E-04 -0.0000E+00  1.2197E-19
 0.000900  3.5744E-04  0.0000E+00  6.1069E-10  3.5744E-04 -0.0000E+00 -1.3553E-19
 0.001200  6.3545E-04  0.0000E+00  1.9301E-09  6.3545E-04 -0.0000E+00 -1.1384E-18
 0.001500  9.9289E-04  0.0000E+00  4.7121E-09  9.9289E-04 -0.0000E+00 -2.4937E-18
 0.001800  1.4298E-03  0.0000E+00  9.7710E-09  1.4298E-03 -0.0000E+00 -2.1684E-18
 0.002100  1.9461E-03  0.0000E+00  1.8102E-08  1.9461E-03 -0.0000E+00 -6.2884E-18
 0.002400  2.5418E-03  0.0000E+00  3.0881E-08  2.5418E-03 -0.0000E+00 -1.1493E-17
 0.002700  3.2170E-03  0.0000E+00  4.9465E-08  3.2169E-03 -0.0000E+00  4.3368E-19
 0.003000  3.9716E-03  0.0000E+00  7.5392E-08  3.9715E-03 -0.0000E+00 -1.7564E-17
 0.003300  4.8056E-03  0.0000E+00  1.1038E-07  4.8055E-03 -0.0000E+00 -9.5410E-18
 0.003600  5.7190E-03  0.0000E+00  1.5633E-07  5.7189E-03 -0.0000E+00 -2.8623E-17
 0.003900  6.7119E-03  0.0000E+00  2.1532E-07  6.7117E-03 -0.0000E+00 -3.0791E-17
 0.004200  7.7842E-03  0.0000E+00  2.8962E-07  7.7839E-03 -0.0000E+00 -3.3610E-17
 0.004500  8.9359E-03  0.0000E+00  3.8166E-07  8.9355E-03 -0.0000E+00 -1.5829E-17
 0.004800  1.0167E-02  0.0000E+00  4.9407E-07  1.0167E-02 -0.0000E+00 -1.2577E-16
 0.005100  1.1478E-02  0.0000E+00  6.2966E-07  1.1477E-02 -0.0000E+00 -1.2750E-16
 0.005400  1.2868E-02  0.0000E+00  7.9140E-07  1.2867E-02 -0.0000E+00 -7.1557E-17
 0.005700  1.4337E-02  0.0000E+00  9.8247E-07  1.4336E-02 -0.0000E+00 -5.1608E-17
 0.006000  1.5886E-02  0.0000E+00  1.2062E-06  1.5885E-02 -0.0000E+00 -1.7130E-17
 0.006300  1.7514E-02  0.0000E+00  1.4661E-06  1.7513E-02 -0.0000E+00  1.1037E-16
 0.006600  1.9222E-02  0.0000E+00  1.7660E-06  1.9220E-02 -0.0000E+00  1.3596E-16
 0.006900  2.1009E-02  0.0000E+00  2.1096E-06  2.1007E-02 -0.0000E+00  1.3943E-16
 0.007200  2.2875E-02  0.0000E+00  2.5011E-06  2.2873E-02 -0.0000E+00 -1.6914E-16
 0.007500  2.4821E-02  0.0000E+00  2.9447E-06  2.4818E-02 -0.0000E+00  1.2707E-16
 0.007800  2.6847E-02  0.0000E+00  3.4448E-06  2.6843E-02 -0.0000E+00 -7.4593E-17
