#   Time         Wext         Waer         Wela         Wkin         Wdmp         Error
    ____         ____         ____         ____         ____         ____          ____

 0.000000  0.0000E+00  0.0000E+00  3.7859E-26  0.0000E+00  0.0000E+00  0.0000E+00
 0.000300  3.9716E-05  0.0000E+00  7.5394E-12  3.9716E-05  0.0000E+00  3.7513E-13
 0.000600  1.5886E-04  0.0000E+00  1.2063E-10  1.5886E-04  0.0000E+00 -4.3253E-12
 0.000900  3.5744E-04  0.0000E+00  6.1069E-10  3.5744E-04  0.0000E+00 -7.6147E-12
 0.001200  6.3545E-04  0.0000E+00  1.9301E-09  6.3545E-04  0.0000E+00  9.2002E-13
 0.001500  9.9289E-04  0.0000E+00  4.7121E-09  9.9289E-04  0.0000E+00 -2.8455E-13
 0.001800  1.4298E-03  0.0000E+00  9.7709E-09  1.4298E-03  0.0000E+00  1.6943E-11
 0.002100  1.9461E-03  0.0000E+00  1.8102E-08  1.9461E-03  0.0000E+00  1.6821E-11
 0.002400  2.5418E-03  0.0000E+00  3.0881E-08  2.5418E-03  0.0000E+00 -1.1567E-11
 0.002700  3.2170E-03  0.0000E+00  4.9465E-08  3.2169E-03  0.0000E+00 -1.8747E-11
 0.003000  3.9716E-03  0.0000E+00  7.5392E-08  3.9715E-03  0.0000E+00  5.6654E-12
 0.003300  4.8056E-03  0.0000E+00  1.1038E-07  4.8055E-03  0.0000E+00 -2.5548E-12
 0.003600  5.7190E-03  0.0000E+00  1.5633E-07  5.7189E-03  0.0000E+00  2.7359E-11
 0.003900  6.7119E-03  0.0000E+00  2.1532E-07  6.7117E-03  0.0000E+00  1.6950E-11
 0.004200  7.7842E-03  0.0000E+00  2.8962E-07  7.7839E-03  0.0000E+00 -4.4743E-11
 0.004500  8.9359E-03  0.0000E+00  3.8166E-07  8.9355E-03  0.0000E+00  3.7357E-11
 0.004800  1.0167E-02  0.0000E+00  4.9406E-07  1.0167E-02  0.0000E+00 -3.5501E-11
 0.005100  1.1478E-02  0.0000E+00  6.2964E-07  1.1477E-02  0.0000E+00  5.6079E-11
 0.005400  1.2868E-02  0.0000E+00  7.9138E-07  1.2867E-02  0.0000E+00 -2.9308E-11
 0.005700  1.4337E-02  0.0000E+00  9.8243E-07  1.4336E-02  0.0000E+00 -6.1113E-11
 0.006000  1.5886E-02  0.0000E+00  1.2062E-06  1.5885E-02  0.0000E+00 -2.9063E-11
 0.006300  1.7514E-02  0.0000E+00  1.4661E-06  1.7513E-02  0.0000E+00 -6.8560E-11
 0.006600  1.9222E-02  0.0000E+00  1.7659E-06  1.9220E-02  0.0000E+00 -3.7910E-11
 0.006900  2.1009E-02  0.0000E+00  2.1095E-06  2.1007E-02  0.0000E+00  7.3093E-11
 0.007200  2.2875E-02  0.0000E+00  2.5010E-06  2.2873E-02  0.0000E+00 -5.9269E-11
 0.007500  2.4821E-02  0.0000E+00  2.9445E-06  2.4818E-02  0.0000E+00  5.4767E-11
 0.007800  2.6847E-02  0.0000E+00  3.4446E-06  2.6843E-02  0.0000E+00  8.4337E-11
 0.008100  2.8951E-02  0.0000E+00  4.0059E-06  2.8947E-02  0.0000E+00  1.8242E-11
